Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),Year
LAX,Los Angeles,CA,370.01,522.25,2007
ORD,Chicago-O'Hare,IL,326.17,460.38,2007
DEN,Denver,CO,316.79,447.14,2007
ATL,Atlanta,GA,357.78,505.0,2007
EWR,Newark,NJ,379.98,536.32,2007
BOS,Boston,MA,354.64,500.56,2007
SEA,Seattle,WA,354.13,499.84,2007
MCO,Orlando,FL,253.0,357.09,2007
DFW,Dallas-DFW,TX,364.99,515.17,2007
PHX,Phoenix,AZ,283.19,399.72,2007
SFO,San Francisco,CA,428.03,604.14,2007
JFK,New York-JFK,NY,341.67,482.25,2007
LAS,Las Vegas,NV,244.14,344.59,2007
LGA,New York-La Guardia,NY,320.24,452.01,2007
MSP,Minneapolis,MN,364.65,514.69,2007
PHL,Philadelphia,PA,313.27,442.16,2007
IAH,Houston-Intercontinental,TX,379.14,535.15,2007
SAN,San Diego,CA,312.15,440.58,2007
DTW,Detroit,MI,307.29,433.72,2007
FLL,Fort Lauderdale,FL,253.87,358.32,2007
DCA,Washington-Reagan National,DC,362.37,511.47,2007
TPA,Tampa,FL,268.74,379.32,2007
MIA,Miami,FL,326.71,461.13,2007
AUS,Austin,TX,342.24,483.06,2007
BWI,Baltimore,MD,266.48,376.13,2007
PDX,Portland,OR,331.94,468.52,2007
SLC,Salt Lake City,UT,338.7,478.06,2007
BNA,Nashville,TN,292.25,412.5,2007
CLT,Charlotte,NC,361.61,510.4,2007
SMF,Sacramento,CA,286.67,404.63,2007
RDU,Raleigh/Durham,NC,302.73,427.28,2007
MDW,Chicago-Midway,IL,224.27,316.54,2007
HNL,Honolulu,HI,247.48,349.31,2007
STL,St. Louis,MO,313.14,441.99,2007
SJC,San Jose,CA,275.76,389.22,2007
OAK,Oakland,CA,256.05,361.41,2007
DAL,Dallas-Love Field,TX,197.33,278.52,2007
SNA,Santa Ana,CA,324.82,458.47,2007
MCI,Kansas City,MO,286.4,404.24,2007
MSY,New Orleans,LA,303.21,427.97,2007
CLE,Cleveland,OH,336.25,474.6,2007
IAD,Washington-Dulles,DC,384.14,542.2,2007
IND,Indianapolis,IN,305.16,430.72,2007
SJU,San Juan,PR,305.84,431.68,2007
SAT,San Antonio,TX,331.41,467.77,2007
PIT,Pittsburgh,PA,294.89,416.23,2007
CVG,Cincinnati,OH,554.83,783.12,2007
CMH,Columbus,OH,294.02,415.0,2007
HOU,Houston-Hobby,TX,239.02,337.37,2007
RSW,Fort Myers,FL,260.59,367.81,2007
BDL,Hartford,CT,365.74,516.22,2007
ONT,Ontario,CA,282.54,398.79,2007
JAX,Jacksonville,FL,297.29,419.61,2007
MKE,Milwaukee,WI,331.01,467.21,2007
BUR,Burbank,CA,245.51,346.52,2007
PBI,West Palm Beach/Palm Beach,FL,272.04,383.98,2007
OMA,Omaha,NE,316.92,447.32,2007
MEM,Memphis,TN,388.19,547.91,2007
RIC,Richmond,VA,352.38,497.37,2007
BOI,Boise,ID,299.55,422.81,2007
CHS,Charleston,SC,408.96,577.23,2007
BUF,Buffalo,NY,261.03,368.43,2007
ORF,Norfolk,VA,358.3,505.73,2007
ABQ,Albuquerque,NM,310.53,438.3,2007
OGG,Kahului,HI,178.65,252.16,2007
ELP,El Paso,TX,300.52,424.17,2007
GRR,Grand Rapids,MI,420.68,593.77,2007
OKC,Oklahoma City,OK,340.42,480.49,2007
SDF,Louisville,KY,320.35,452.16,2007
ANC,Anchorage,AK,501.86,708.35,2007
GEG,Spokane,WA,298.84,421.8,2007
RNO,Reno,NV,266.47,376.12,2007
PVD,Providence,RI,299.17,422.27,2007
TUS,Tucson,AZ,311.76,440.04,2007
DSM,Des Moines,IA,394.75,557.18,2007
LGB,Long Beach,CA,263.69,372.18,2007
TUL,Tulsa,OK,329.08,464.48,2007
SYR,Syracuse,NY,359.16,506.94,2007
SRQ,Sarasota/Bradenton,FL,288.8,407.63,2007
ALB,Albany,NY,337.41,476.24,2007
BHM,Birmingham,AL,336.63,475.14,2007
SAV,Savannah,GA,378.15,533.74,2007
ROC,Rochester,NY,304.5,429.79,2007
KOA,Kona,HI,170.15,240.16,2007
TYS,Knoxville,TN,439.77,620.72,2007
MYR,Myrtle Beach,SC,299.25,422.38,2007
PNS,Pensacola,FL,372.33,525.53,2007
GSP,Greenville-Spartanburg,SC,461.44,651.3,2007
COS,Colorado Springs,CO,384.49,542.69,2007
HPN,White Plains,NY,283.99,400.83,2007
LIH,Lihue,HI,146.27,206.45,2007
FAT,Fresno,CA,403.84,570.0,2007
LIT,Little Rock,AR,330.63,466.67,2007
MSN,Madison,WI,425.0,599.87,2007
PWM,Portland,ME,367.72,519.02,2007
PSP,Palm Springs,CA,396.8,560.07,2007
BZN,Bozeman,MT,534.28,754.11,2007
SFB,Sanford,FL,141.92,200.31,2007
PIE,St. Petersburg,FL,155.74,219.82,2007
AVL,Asheville,NC,493.0,695.85,2007
LAX,Los Angeles,CA,389.39,529.28,2008
ORD,Chicago-O'Hare,IL,361.46,491.33,2008
DEN,Denver,CO,325.86,442.94,2008
ATL,Atlanta,GA,351.23,477.42,2008
EWR,Newark,NJ,428.99,583.11,2008
BOS,Boston,MA,391.3,531.89,2008
SEA,Seattle,WA,353.61,480.65,2008
MCO,Orlando,FL,260.03,353.45,2008
DFW,Dallas-DFW,TX,406.16,552.08,2008
PHX,Phoenix,AZ,305.19,414.84,2008
SFO,San Francisco,CA,407.65,554.11,2008
JFK,New York-JFK,NY,363.43,494.0,2008
LAS,Las Vegas,NV,257.75,350.35,2008
LGA,New York-La Guardia,NY,348.28,473.41,2008
MSP,Minneapolis,MN,424.75,577.35,2008
PHL,Philadelphia,PA,341.14,463.7,2008
IAH,Houston-Intercontinental,TX,422.51,574.31,2008
SAN,San Diego,CA,321.5,437.0,2008
DTW,Detroit,MI,334.52,454.7,2008
FLL,Fort Lauderdale,FL,259.7,353.0,2008
DCA,Washington-Reagan National,DC,411.72,559.64,2008
TPA,Tampa,FL,282.51,384.01,2008
MIA,Miami,FL,347.47,472.3,2008
AUS,Austin,TX,338.76,460.46,2008
BWI,Baltimore,MD,291.51,396.24,2008
PDX,Portland,OR,344.36,468.08,2008
SLC,Salt Lake City,UT,330.1,448.7,2008
BNA,Nashville,TN,313.7,426.41,2008
CLT,Charlotte,NC,394.23,535.87,2008
SMF,Sacramento,CA,302.46,411.13,2008
RDU,Raleigh/Durham,NC,312.39,424.62,2008
MDW,Chicago-Midway,IL,265.04,360.26,2008
HNL,Honolulu,HI,314.95,428.1,2008
STL,St. Louis,MO,323.67,439.96,2008
SJC,San Jose,CA,286.78,389.82,2008
OAK,Oakland,CA,261.87,355.95,2008
DAL,Dallas-Love Field,TX,226.79,308.28,2008
SNA,Santa Ana,CA,336.08,456.83,2008
MCI,Kansas City,MO,309.11,420.16,2008
MSY,New Orleans,LA,304.54,413.95,2008
CLE,Cleveland,OH,371.32,504.72,2008
IAD,Washington-Dulles,DC,432.1,587.34,2008
IND,Indianapolis,IN,314.05,426.88,2008
SJU,San Juan,PR,313.6,426.26,2008
SAT,San Antonio,TX,329.79,448.28,2008
PIT,Pittsburgh,PA,313.44,426.05,2008
CVG,Cincinnati,OH,570.18,775.03,2008
CMH,Columbus,OH,324.73,441.4,2008
HOU,Houston-Hobby,TX,265.57,360.98,2008
RSW,Fort Myers,FL,272.62,370.56,2008
BDL,Hartford,CT,384.74,522.96,2008
ONT,Ontario,CA,297.78,404.77,2008
JAX,Jacksonville,FL,306.58,416.73,2008
MKE,Milwaukee,WI,334.05,454.07,2008
BUR,Burbank,CA,258.44,351.29,2008
